
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 55.667 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Neovulpavus_washakius	44.548	44.548	
Nyctereutes	8.552	0.838	
Nyctereutes_abdeslami	3.099	2.99	
Nyctereutes_procyonoides	2.015	0.033	
Osbornodon_brachypus	22.646	16.841	
Osbornodon_fricki	20.032	13.699	
Osbornodon_iamonensis	20.812	17.652	
Osbornodon_renjiei	33.494	32.779	
Osbornodon_scitulus	17.231	16.797	
Osbornodon_sesnoni	31.929	24.138	
Osbornodon_wangi	21.974	21.974	
Otarocyon_cooki	30.278	22.16	
Otarocyon_macdonaldi	33.567	33.317	
Otocyon	3.365	0.057	
Otocyon_megalotis	2.045	0.003	
Oxetocyon	32.75	31.664	
Oxetocyon_cuspidatus	32.539	31.04	
Paracynarctus_kelloggi	21.375	7.312	
Paracynarctus_sinclairi	20.059	14.632	
Paraenhydrocyon_josephi	30.672	21.265	
Paraenhydrocyon_robustus	22.195	20.802	
Paraenhydrocyon_wallovianus	29.979	22.099	
Paratomarctus_euthos	18.245	8.825	
Paratomarctus_temerarius	19.808	6.281	
Philotrox_condoni	29.909	24.861	
Phlaocyon	23.151	16.542	
Phlaocyon_achoros	22.335	22.335	
Phlaocyon_annectens	24.72	20.479	
Phlaocyon_latidens	31.538	24.431	
Phlaocyon_leucosteus	24.677	16.403	
Phlaocyon_mariae	16.443	16.443	
Phlaocyon_marslandensis	18.841	16.515	
Phlaocyon_minor	25.735	16.474	
Phlaocyon_multicuspus	21.791	21.791	
Phlaocyon_taylori	28.912	20.593	
Phlaocyon_yatkolai	18.194	18.194	
Protemnocyon_inflatus	33.889	33.889	
Protepicyon_raki	15.884	14.007	
Protocyon	1.4	0.022	
Protocyon_orcesi	0.646	0.646	
Protocyon_tarijensis	2.346	2.346	
Protocyon_troglodytes	1.475	0.021	
Protomarctus_optatus	20.42	12.707	
Psalidocyon_marianae	20.035	14.437	
Pseudalopex_gymnocercus	1.032	0.002	extant
Rhizocyon_oregonensis	29.893	20.718	
Speothos	2.1	2.1	
Speothos_venaticus	0.006	0.006	
Sunkahetanka_geringensis	30.508	25.125	
Tephrocyon_rurestris	19.363	14.253	
Theriodictis	2.179	0.041	
Theriodictis_floridanus	3.497	2.162	
Tomarctus	15.9	9.618	
Tomarctus_brevirostris	20.279	13.801	
Tomarctus_hippophaga	19.971	13.68	
Urocyon	10.732	0.053	
Urocyon_cinereoargenteus	3.341	0.01	
Urocyon_citrinus	4.61	4.61	
Urocyon_galushai	3.418	2.135	
Urocyon_minicephalus	0.823	0.719	
Urocyon_progressus	3.098	3.098	
Urocyon_webbi	6.103	6.103	
Vulpes	9.839	0.003	
Vulpes_cascadensis	0.111	0.111	
Vulpes_chama	2.036	0.002	
Vulpes_kernensis	12.005	12.005	
Vulpes_mathisoni	4.474	4.474	
Vulpes_stenognathus	14.174	0.891	
Vulpes_velox	3.594	0.026	
Vulpes_vulpes	2.848	0.002	
Vulpes_vulpes_macroura	0.043	0.043	
Vulpini	0.046	0.046	
Xenocyon	2.115	0.295	
Xenocyon_lycaonoides	2.078	0.225	
Xenocyon_texanus	0.63	0.63	
